date_c,open_c,high_c,low_c,close_c
1613520000000.0,49133.45,52618.74,48947.0,52119.71
1613606400000.0,52117.67,52530.0,50901.9,51552.6
1613692800000.0,51552.61,56368.0,50710.2,55906.0
1613779200000.0,55906.0,57700.46,53863.93,55841.19
1613865600000.0,55841.19,58352.8,55477.59,57408.57
1613952000000.0,57412.35,57508.47,47622.0,54087.67
1614038400000.0,54087.67,54183.59,44892.56,48891.0
1614124800000.0,48891.0,51374.99,46988.69,49676.2
1614211200000.0,49676.21,52041.73,46674.34,47073.73
1614297600000.0,47073.73,48424.11,44106.78,46276.87
1614384000000.0,46276.88,48394.0,45000.0,46106.43
1614470400000.0,46103.67,46638.46,43000.0,45135.66
1614556800000.0,45134.11,49790.0,44950.53,49587.03
1614643200000.0,49595.76,50200.0,47047.6,48440.65
1614729600000.0,48436.61,52640.0,48100.71,50349.37
1614816000000.0,50349.37,51773.88,47500.0,48374.09
1614902400000.0,48374.09,49448.93,46300.0,48751.71
1614988800000.0,48746.81,49200.0,47070.0,48882.2
1615075200000.0,48882.2,51450.03,48882.2,50971.75
1615161600000.0,50959.11,52402.78,49274.67,52375.17
1615248000000.0,52375.18,54895.0,51789.41,54884.5
1615334400000.0,54874.67,57387.69,53005.0,55851.59
1615420800000.0,55851.59,58150.0,54272.82,57773.16
1615507200000.0,57773.15,58081.51,54962.84,57221.72
1615593600000.0,57221.72,61844.0,56078.23,61188.39
1615680000000.0,61188.38,61724.79,58966.78,58968.31
1615766400000.0,58976.08,60633.43,54600.0,55605.2
1615852800000.0,55605.2,56938.29,53271.34,56900.75
1615939200000.0,56900.74,58974.73,54123.69,58912.97
1616025600000.0,58912.97,60129.97,57023.0,57648.16
1616112000000.0,57641.0,59468.0,56270.74,58030.01
1616198400000.0,58030.01,59880.0,57820.17,58102.28
1616284800000.0,58100.02,58589.1,55450.11,57351.56
1616371200000.0,57351.56,58430.73,53650.0,54083.25
1616457600000.0,54083.25,55830.9,53000.0,54340.89
1616544000000.0,54342.8,57200.0,51700.0,52303.65
1616630400000.0,52303.66,53287.0,50427.56,51293.78
1616716800000.0,51293.78,55073.46,51214.6,55025.59
1616803200000.0,55025.59,56700.36,53950.0,55817.14
1616889600000.0,55817.14,56559.75,54691.84,55777.63
1616976000000.0,55777.65,58405.82,54800.01,57635.47
1617062400000.0,57635.46,59368.0,57071.35,58746.57
1617148800000.0,58746.57,59800.0,56769.0,58740.55
1617235200000.0,58739.46,59490.0,57935.45,58720.44
1617321600000.0,58720.45,60200.0,58428.57,58950.01
1617408000000.0,58950.01,59791.72,56880.0,57051.94
1617494400000.0,57051.95,58492.85,56388.0,58202.01
1617580800000.0,58202.01,59272.0,56777.77,59129.99
1617667200000.0,59129.99,59495.24,57413.02,57991.15
1617753600000.0,57990.03,58655.0,55473.0,55953.45
1617840000000.0,55953.44,58153.31,55700.0,58077.52
1617926400000.0,58077.52,58894.9,57654.0,58142.54
1618012800000.0,58142.55,61500.0,57900.01,59769.13
1618099200000.0,59769.13,60699.0,59232.52,60002.43
1618185600000.0,59998.8,61300.0,59350.59,59860.0
1618272000000.0,59860.01,63777.77,59805.15,63575.0
1618358400000.0,63575.01,64854.0,61301.0,62959.53
1618444800000.0,62959.53,63800.0,62020.0,63159.98
1618531200000.0,63158.74,63520.61,60000.0,61334.8
1618617600000.0,61334.81,62506.05,59580.91,60006.66
1618704000000.0,60006.67,60499.0,50931.3,56150.01
1618790400000.0,56150.01,57526.81,54221.58,55633.14
1618876800000.0,55633.14,57076.24,53329.96,56425.0
1618963200000.0,56425.0,56757.91,53536.02,53787.63
1619049600000.0,53787.62,55521.48,50500.0,51690.96
1619136000000.0,51690.95,52131.85,47500.0,51125.14
1619222400000.0,51110.56,51166.22,48657.14,50047.84
1619308800000.0,50047.84,50567.91,46930.0,49066.77
1619395200000.0,49066.76,54356.62,48753.44,54001.39
1619481600000.0,54001.38,55460.0,53222.0,55011.97
1619568000000.0,55011.97,56428.0,53813.16,54846.22
1619654400000.0,54846.23,55195.84,52330.94,53555.0
1619740800000.0,53555.0,57963.0,53013.01,57694.27
1619827200000.0,57697.25,58458.07,56956.14,57800.37
1619913600000.0,57797.35,57911.02,56035.25,56578.21
1620000000000.0,56578.21,58981.44,56435.0,57169.39
1620086400000.0,57169.39,57200.0,53046.69,53200.01
1620172800000.0,53205.05,58069.82,52900.0,57436.11
1620259200000.0,57436.11,58360.0,55200.0,56393.68
1620345600000.0,56393.68,58650.0,55241.63,57314.75
1620432000000.0,57315.49,59500.0,56900.0,58862.05
1620518400000.0,58866.53,59300.0,56235.66,58240.84
1620604800000.0,58240.83,59500.0,53400.0,55816.14
1620691200000.0,55816.14,56862.43,54370.0,56670.02
1620777600000.0,56670.02,58000.01,48600.0,49631.32
1620864000000.0,49537.15,51367.19,46000.0,49670.97
1620950400000.0,49671.92,51483.0,48799.75,49841.45
1621036800000.0,49844.16,50700.0,46555.0,46762.99
1621123200000.0,46762.99,49795.89,43825.39,46431.5
1621209600000.0,46426.83,46686.0,42001.0,43538.04
1621296000000.0,43538.02,45799.29,42250.02,42849.78
1621382400000.0,42849.78,43584.9,30000.0,36690.09
1621468800000.0,36671.23,42451.67,34850.0,40526.64
1621555200000.0,40525.39,42200.0,33488.0,37252.01
1621641600000.0,37263.35,38829.0,35200.62,37449.73
1621728000000.0,37458.51,38270.64,31111.01,34655.25
1621814400000.0,34681.44,39920.0,34031.0,38796.29
1621900800000.0,38810.99,39791.77,36419.62,38324.72
1621987200000.0,38324.72,40841.0,37800.44,39241.91
1622073600000.0,39241.92,40411.14,37134.27,38529.98
1622160000000.0,38529.99,38877.83,34684.0,35663.49
1622246400000.0,35661.79,37338.58,33632.76,34605.15
1622332800000.0,34605.15,36488.0,33379.0,35641.27
1622419200000.0,35641.26,37499.0,34153.84,37253.81
1622505600000.0,37253.82,37894.81,35666.0,36693.09
1622592000000.0,36694.85,38225.0,35920.0,37568.68
1622678400000.0,37568.68,39476.0,37170.0,39246.79
1622764800000.0,39246.78,39289.07,35555.15,36829.0
1622851200000.0,36829.15,37925.0,34800.0,35513.2
1622937600000.0,35516.07,36480.0,35222.0,35796.31
1623024000000.0,35796.31,36900.0,33300.0,33552.79
1623110400000.0,33556.96,34068.01,31000.0,33380.81
1623196800000.0,33380.8,37534.79,32396.82,37388.05
1623283200000.0,37388.05,38491.0,35782.0,36675.72
1623369600000.0,36677.83,37680.4,35936.77,37331.98
1623456000000.0,37331.98,37463.63,34600.36,35546.11
1623542400000.0,35546.12,39380.0,34757.0,39020.57
1623628800000.0,39020.56,41064.05,38730.0,40516.29
1623715200000.0,40516.28,41330.0,39506.4,40144.04
1623801600000.0,40143.8,40527.14,38116.01,38349.01
1623888000000.0,38349.0,39559.88,37365.0,38092.97
1623974400000.0,38092.97,38202.84,35129.29,35819.84
1624060800000.0,35820.48,36457.0,34803.52,35483.72
1624147200000.0,35483.72,36137.72,33336.0,35600.16
1624233600000.0,35600.17,35750.0,31251.23,31608.93
1624320000000.0,31614.12,33298.78,28805.0,32509.56
1624406400000.0,32509.56,34881.0,31683.0,33678.07
1624492800000.0,33675.07,35298.0,32286.57,34663.09
1624579200000.0,34663.08,35500.0,31275.0,31584.45
1624665600000.0,31576.09,32730.0,30151.0,32283.65
1624752000000.0,32283.65,34749.0,31973.45,34700.34
1624838400000.0,34702.49,35297.71,33862.72,34494.89
1624924800000.0,34494.89,36600.0,34225.43,35911.73
1625011200000.0,35911.72,36100.0,34017.55,35045.0
1625097600000.0,35045.0,35057.57,32711.0,33504.69
1625184000000.0,33502.33,33977.04,32699.0,33786.55
1625270400000.0,33786.54,34945.61,33316.73,34669.13
1625356800000.0,34669.12,35967.85,34357.15,35286.51
1625443200000.0,35288.13,35293.78,33125.55,33690.14
1625529600000.0,33690.15,35118.88,33532.0,34220.01
1625616000000.0,34220.02,35059.09,33777.77,33862.12
1625702400000.0,33862.11,33929.64,32077.0,32875.71
1625788800000.0,32875.71,34100.0,32261.07,33815.81
1625875200000.0,33815.81,34262.0,33004.78,33502.87
1625961600000.0,33502.87,34666.0,33306.47,34258.99
1626048000000.0,34259.0,34678.43,32658.34,33086.63
1626134400000.0,33086.94,33340.0,32202.25,32729.77
1626220800000.0,32729.12,33114.03,31550.0,32820.02
1626307200000.0,32820.03,33185.25,31133.0,31880.0
1626393600000.0,31874.49,32249.18,31020.0,31383.87
1626480000000.0,31383.86,31955.92,31164.31,31520.07
1626566400000.0,31520.07,32435.0,31108.97,31778.56
1626652800000.0,31778.57,31899.0,30407.44,30839.65
1626739200000.0,30839.65,31063.07,29278.0,29790.35
1626825600000.0,29790.34,32858.0,29482.61,32144.51
1626912000000.0,32144.51,32591.35,31708.0,32287.83
1626998400000.0,32287.58,33650.0,31924.32,33634.09
1627084800000.0,33634.1,34500.0,33401.14,34258.14
1627171200000.0,34261.51,35398.0,33851.12,35381.02
1627257600000.0,35381.02,40550.0,35205.78,37237.6
1627344000000.0,37241.33,39542.61,36383.0,39457.87
1627430400000.0,39456.61,40900.0,38772.0,40019.56
1627516800000.0,40019.57,40640.0,39200.0,40016.48
1627603200000.0,40018.49,42316.71,38313.23,42206.37
1627689600000.0,42206.36,42448.0,41000.15,41461.83
1627776000000.0,41461.84,42599.0,39422.01,39845.44
1627862400000.0,39850.27,40480.01,38690.0,39147.82
1627948800000.0,39146.86,39780.0,37642.03,38207.05
1628035200000.0,38207.04,39969.66,37508.56,39723.18
1628121600000.0,39723.17,41350.0,37332.7,40862.46
1628208000000.0,40862.46,43392.43,39853.86,42836.87
1628294400000.0,42836.87,44700.0,42446.41,44572.54
1628380800000.0,44572.54,45310.0,43261.0,43794.37
1628467200000.0,43794.36,46454.15,42779.0,46253.4
1628553600000.0,46248.87,46700.0,44589.46,45584.99
1628640000000.0,45585.0,46743.47,45341.14,45511.0
1628726400000.0,45510.67,46218.12,43770.0,44399.0
1628812800000.0,44400.06,47886.0,44217.39,47800.0
1628899200000.0,47799.99,48144.0,45971.03,47068.51
1628985600000.0,47068.5,47372.27,45500.0,46973.82
1629072000000.0,46973.82,48053.83,45660.0,45901.29
1629158400000.0,45901.3,47160.0,44376.0,44695.95
1629244800000.0,44695.95,46000.0,44203.28,44705.29
1629331200000.0,44699.37,47033.0,43927.7,46760.62
1629417600000.0,46760.62,49382.99,46622.99,49322.47
1629504000000.0,49322.47,49757.04,48222.0,48821.87
1629590400000.0,48821.88,49500.0,48050.0,49239.22
1629676800000.0,49239.22,50500.0,49029.0,49488.85
1629763200000.0,49488.85,49860.0,47600.0,47674.01
1629849600000.0,47674.01,49264.3,47126.28,48973.32
1629936000000.0,48973.32,49352.84,46250.0,46843.87
1630022400000.0,46843.86,49149.93,46348.0,49069.9
1630108800000.0,49069.9,49299.0,48346.88,48895.35
1630195200000.0,48895.35,49632.27,47762.54,48767.83
1630281600000.0,48767.84,48888.61,46853.0,46982.91
1630368000000.0,46982.91,48246.11,46700.0,47100.89
1630454400000.0,47100.89,49156.0,46512.0,48810.52
1630540800000.0,48810.51,50450.13,48584.06,49246.64
1630627200000.0,49246.63,51000.0,48316.84,49999.14
1630713600000.0,49998.0,50535.69,49370.0,49915.64
1630800000000.0,49917.54,51900.0,49450.0,51756.88
1630886400000.0,51756.88,52780.0,50969.33,52663.9
1630972800000.0,52666.2,52920.0,42843.05,46863.73
1631059200000.0,46868.57,47340.99,44412.02,46048.31
1631145600000.0,46048.31,47399.97,45513.08,46395.14
1631232000000.0,46395.14,47033.0,44132.29,44850.91
1631318400000.0,44842.2,45987.93,44722.22,45173.69
1631404800000.0,45173.68,46460.0,44742.06,46025.24
1631491200000.0,46025.23,46880.0,43370.0,44940.73
1631577600000.0,44940.72,47250.0,44594.44,47111.52
1631664000000.0,47103.28,48500.0,46682.32,48121.41
1631750400000.0,48121.4,48557.0,47021.1,47737.82
1631836800000.0,47737.81,48150.0,46699.56,47299.98
1631923200000.0,47299.98,48843.2,47035.56,48292.74
1632009600000.0,48292.75,48372.83,46829.18,47241.75
1632096000000.0,47241.75,47347.25,42500.0,43015.62
1632182400000.0,43016.64,43639.0,39600.0,40734.38
1632268800000.0,40734.09,44000.55,40565.39,43543.61
1632355200000.0,43546.37,44978.0,43069.09,44865.26
1632441600000.0,44865.26,45200.0,40675.0,42810.57
1632528000000.0,42810.58,42966.84,41646.28,42670.64
1632614400000.0,42670.63,43950.0,40750.0,43160.9
1632700800000.0,43160.9,44350.0,42098.0,42147.35
1632787200000.0,42147.35,42787.38,40888.0,41026.54
1632873600000.0,41025.01,42590.0,40753.88,41524.28
1632960000000.0,41524.29,44141.37,41410.17,43824.1
1633046400000.0,43820.01,48495.0,43283.03,48141.61
1633132800000.0,48141.6,48336.59,47430.18,47634.9
